x,y
0.3784,0.0522
1.9727,0.2146
0.7435,0.0809
2.3675,0.2575
0.8543,0.0929
2.4173,0.1835
0.497,0.0377
1.5676,0.0161
2.516,0.0258
0.9027,0.0093
0.7743,-0.0146
0.2774,-0.0052
2.5834,-0.0489
0.5211,-0.0099
1.0424,-0.0349
0.2756,-0.0092
2.6625,-0.0892
0.5349,-0.0179
1.0248,-0.053
0.3106,-0.0161
2.6857,-0.139
0.5383,-0.0279
0.75,-0.047
0.15,-0.0094
2.7319,-0.1712
0.5443,-0.0341
1.0377,-0.0915
0.2384,-0.021
2.5838,-0.2279
0.4135,-0.0365
0.3092,-0.0284
2.6845,-0.2466
0.4083,-0.0375
1.0064,-0.1035
2.7046,-0.2781
0.5282,-0.0543
0.5079,-0.0559
0.2472,-0.0272
2.0549,-0.2263
0.5222,-0.0575
0.6795,-0.0723
0.2054,-0.0219
1.4098,-0.1501
0.141,-0.015
0.405,-0.0387
0.154,-0.0147
1.9159,-0.183
0.3968,-0.0379
0.2325,-0.0222
2.6987,-0.2578
0.41,-0.0392
1.5087,-0.1771
0.3312,-0.0389
2.518,-0.2956
0.5132,-0.0602
1.6205,-0.208
2.4799,-0.3183
0.8912,-0.1144
1.2922,-0.1894
0.683,-0.1001
2.379,-0.3487
1.1265,-0.1651
