id,destination,gamma,beta,duration
0,1,2,0.92,5
1,6,2,0.92,4
2,2,4,0.96,3
3,1,3,0.94,3
4,6,1,0.9,7
5,7,4,0.96,3
6,6,2,0.92,6
7,6,3,0.94,1
8,6,2,0.92,3
9,7,4,0.96,7
10,2,1,0.9,9
11,0,2,0.92,7
12,1,1,0.9,4
13,0,1,0.9,3
14,2,1,0.9,1
