id,destination,gamma,beta,duration
0,6,2,0.92,4
1,6,1,0.9,8
2,0,3,0.94,1
3,2,1,0.9,8
4,2,2,0.92,5
5,5,1,0.9,8
6,7,4,0.96,9
7,0,2,0.92,9
8,6,2,0.92,2
9,2,3,0.94,7
