time,reward
0.0,0.0
2.0,1.6928
6.0,3.7624093432
19.0,4.6882803255
23.0,4.9821467877
52.0,5.4609577769
65.0,5.4698138007
67.0,5.4773095392
71.0,5.4778734601
87.0,5.4779779558
109.0,5.4779882462
