id,destination,gamma,beta,duration
0,2,8,0.98,10
1,2,3,0.94,2
2,0,1,0.9,1
3,1,1,0.9,3
4,0,2,0.92,3
5,6,3,0.94,5
6,5,1,0.9,2
7,6,5,0.96,6
8,7,2,0.92,2
9,6,8,0.98,7
